,latbin,lonbin,LON,LAT,distance_total_meters,co2,co2_per_year,co2_per_year_with_trees,co2_per_year_with_trees_doubled
12721,48.17269,17.064110000000003,153.57706200000004,433.55427299999997,216364.4389113114,0.39735774522028056,1450.355770054024,1329.982698701924,246.6250565330215
12722,48.17269,17.13129,51.393873,144.51807300000002,39096.34878576943,0.07799982626445773,284.6993658652707,164.32629451317044,0.0
12723,48.17271,17.131240000000002,51.393735,144.51813,39096.34878576943,0.07799982626445773,284.6993658652707,164.32629451317044,0.0
12724,48.172720000000005,17.1236,68.494436,192.690916,13408.560353933142,0.09658774120275371,352.545255390051,232.17218403795076,0.0
12725,48.17273,17.12374,34.247488,96.34546,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12726,48.17273,17.12386,34.24773,96.34547,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12727,48.17273,17.12397,34.24795,96.34547,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12728,48.17273,17.124200000000002,34.248416,96.345476,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12729,48.17273,17.12431,34.248628,96.345472,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12730,48.17273,17.12458,34.249164,96.34546,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12731,48.17273,17.167720000000003,120.174089,337.20917299999996,69104.14169876424,0.19382729586606307,707.4696299111301,587.0965585590299,0.0
12732,48.17273,17.17291,68.691652,192.690948,57905.65075391511,0.11283099513470711,411.83313224168097,291.46006088958075,0.0
12733,48.172740000000005,17.17021,85.851075,240.86371,63381.72564290775,0.14053000824172324,512.9345300822898,392.56145873018954,0.0
12734,48.17275,17.12319,68.49278,192.691,13408.560353933142,0.09658774120275371,352.545255390051,232.17218403795076,0.0
12735,48.172760000000004,17.069200000000002,443.799434,1252.491916,307833.8277035157,0.7036118659212999,2568.1833106127447,2447.8102392606443,1364.452597091742
12736,48.172760000000004,17.123070000000002,68.492292,192.691056,13408.560353933142,0.09658774120275371,352.545255390051,232.17218403795076,0.0
12737,48.17277000000001,17.14226,651.4061459999996,1830.565374,494876.74021257105,1.2741541858985006,4650.662778529527,4530.289707177427,3446.932065008524
12738,48.17278,17.122870000000002,34.245744,96.34557,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12739,48.172810000000005,17.12266,34.245326,96.345626,6704.280176966571,0.048293870601376854,176.2726276950255,55.89955634292525,0.0
12740,48.17282,17.069270000000003,887.6024040000011,2504.986900000003,612233.6272028235,1.4752041957549533,5384.49531450558,5264.12224315348,4180.764600984578
